species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Cambarus_latimanus,cambaridae,yes,1,37,,37,carapace.length,74,74,17.33533351,Semi-terrestrial/Aquatic,"Cooper, 2002","North Carolina crayfishes (Decapoda: Cambaridae): notes on distribution, taxonomy, life history, and habitat",
Procambarus_geminus,cambaridae,,,,,50.7,carapace.length,102.414,102.414,17.36400004,Semi-terrestrial/Aquatic,Hobbs 1975,New crayfishes (Decapoda: Cambaridae) from the southern United States and Mexico,
Hobbseus_cristatus,cambaridae,yes,13,16.27,12.73,21.47,carapace.length,42.2959,42.2959,17.40566671,Semi-terrestrial/Aquatic,"Pat Alison, Unpublished data",,
Procambarus_digueti,cambaridae,yes,,,,87,total.body.length,87,87,17.44333339,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Hobbseus_prominens,cambaridae,yes,55,15.196,10.73,22.7,carapace.length,44.719,44.719,17.48400017,Semi-terrestrial/Aquatic,"Pat Alison, Unpublished data",,
Faxonella_clypeata,cambaridae,yes,,,,51,total.body.length,51,51,17.51900009,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_bouvieri,cambaridae,yes,,,,69,total.body.length,69,69,17.53766632,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_chacei,cambaridae,,,,,25.8,carapace.length,52.116,52.116,17.65633325,Semi-terrestrial/Aquatic,Lepz-Mejia et al. 2004,"A new species of Procambarus (Crustacea: Decapoda: Cambaridae) from Veracruz, Mexico",
Astacoides_betsileoensis,parastacidae,yes,24,65.91,59.94,77.5,carapace.length,141.825,141.825,17.66133356,Semi-terrestrial/Aquatic,"Jones et al., 2007",The ecology and conservation status of Madagascar’s endemic freshwater crayfish (Parastacidae; Astacoides),
Procambarus_roberti,cambaridae,,,,,29.6,carapace.length,59.792,59.792,17.67066677,Semi-terrestrial/Aquatic,Villalobos and Hobbs 1974,"Three New Crustaceans from La Media Luna, San Luis Potosi, Mexico",
Procambarus_lagniappe,cambaridae,yes,,,,98,total.body.length,98,98,17.70100001,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_ancylus,cambaridae,yes,,,,53.3,total.body.length,53.3,53.3,17.71466664,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_kensleyi,cambaridae,yes,,,,70.7,total.body.length,70.7,70.7,17.72833355,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_echinatus,cambaridae,yes,,,,130.5,total.body.length,130.5,130.5,17.73700011,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_machardyi,cambaridae,yes,,,,90.1,total.body.length,90.1,90.1,17.76533337,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_vioscai_paynei,cambaridae,yes,,,,77.2,total.body.length,77.2,77.2,17.86199991,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_achilli,cambaridae,,,,,36.9,carapace.length,74.538,74.538,17.87733332,Semi-terrestrial/Aquatic,Lepz-Mejia et al. 2003,"Procambarus (Villalobosus) Achilli (Decapoda, Cambaridae): A new species of crayfish from Mexico",
Procambarus_shermani,cambaridae,,,,,40.2,carapace.length,81.204,81.204,17.88600008,Semi-terrestrial/Aquatic,Hobbs 1942,The Crayfishes of Florida,
Faxonella_creaseri,cambaridae,yes,,,,18.1,carapace.length,35.657,35.657,17.91333342,Semi-terrestrial/Aquatic,"Walls, 1968","A NEW FAXONELLA FROM NORTHEAST LOUISIANA (DECAPODA, ASTACIDAE)",
Procambarus_versutus,cambaridae,,,,,41,carapace.length,82.82,82.82,17.97166673,Semi-terrestrial/Aquatic,Schuster et al. 2022,The Crayfishes of Alabama,
Procambarus_dupratzi,cambaridae,,,,,41.8,carapace.length,84.436,84.436,17.99233337,Semi-terrestrial/Aquatic,Penn 1953,"Two new crayfishes of the genus Procambarus from Texas, Louisana and Arkansas (Decapoda, Astacidae)",
Procambarus_capillatus,cambaridae,yes,,,,55.2,total.body.length,55.2,55.2,18.01800021,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_escambiensis,cambaridae,,,,,32.3,carapace.length,65.246,65.246,18.01800021,Semi-terrestrial/Aquatic,Hobbs 1942,The Crayfishes of Florida,
Procambarus_gibbus,cambaridae,,,,,48.7,carapace.length,98.374,98.374,18.03666675,Semi-terrestrial/Aquatic,Hobbs 1981,The Crayfishes of Georgia,
Procambarus_howellae,cambaridae,yes,,,,60.9,total.body.length,60.9,60.9,18.04999991,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_jaculus,cambaridae,yes,,,,59.5,total.body.length,59.5,59.5,18.07466658,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_enoplosternum,cambaridae,yes,4,28.95,24.1,34.2,carapace.length,69.084,69.084,18.10833311,Semi-terrestrial/Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Procambarus_spiculifer,cambaridae,yes,,49.55,28.7,70.4,carapace.length,142.208,142.208,18.10966667,Semi-terrestrial/Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Procambarus_mancus,cambaridae,,,,,26.5,carapace.length,53.53,53.53,18.13466684,Semi-terrestrial/Aquatic,Hobbs and Walton 1957,Three New Crayfishes From Alabama And Mississippi (Decapoda: Astacidae),
Procambarus_clemmeri,cambaridae,,,,,40.5,carapace.length,81.81,81.81,18.27433316,Semi-terrestrial/Aquatic,Hobbs 1975,New crayfishes (Decapoda: Cambaridae) from the southern United States and Mexico,
Hobbseus_attenuatus,cambaridae,yes,19,16.09,12.82,20.89,carapace.length,41.1533,41.1533,18.27633333,Semi-terrestrial/Aquatic,"Pat Alison, Unpublished data",,
Procambarus_okaloosae,cambaridae,,,,,41.9,carapace.length,84.638,84.638,18.40933315,Semi-terrestrial/Aquatic,Schuster et al. 2022,The Crayfishes of Alabama,
Procambarus_barbatus,cambaridae,yes,7,23.62,18.9,30.7,carapace.length,62.014,62.014,18.42633327,Semi-terrestrial/Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Procambarus_epicyrtus,cambaridae,,,,,50.8,carapace.length,102.616,102.616,18.43499986,Semi-terrestrial/Aquatic,Hobbs 1981,The Crayfishes of Georgia,
